EmployeeID	EmployeeName	StoreID	Department	HireDate
E001	Employee 1	S06	Sales	26/08/2024
E002	Employee 2	S01	Support	18/08/2025
E003	Employee 3	S06	Sales	30/04/2024
E004	Employee 4	S02	Support	8/07/2022
E005	Employee 5	S01	Support	9/02/2021
E006	Employee 6	S11	Support	21/08/2021
E007	Employee 7	S03	Sales	21/03/2023
E008	Employee 8	S08	Operations	22/07/2021
E009	Employee 9	S08	Support	22/01/2020
E010	Employee 10	S02	Sales	14/11/2022
E011	Employee 11	S04	Sales	1/12/2025
E012	Employee 12	S07	Sales	26/03/2023
E013	Employee 13	S04	Support	14/05/2021
E014	Employee 14	S01	Sales	15/09/2024
E015	Employee 15	S11	Operations	15/02/2025
E016	Employee 16	S02	Sales	9/08/2025
E017	Employee 17	S10	Operations	8/03/2020
E018	Employee 18	S11	Operations	17/09/2022
E019	Employee 19	S03	Support	24/10/2024
E020	Employee 20	S01	Operations	16/12/2023
E021	Employee 21	S04	Operations	2/09/2024
E022	Employee 22	S03	Operations	16/12/2020
E023	Employee 23	S09	Support	4/10/2020
E024	Employee 24	S09	Operations	9/09/2025
E025	Employee 25	S09	Operations	24/03/2020
E026	Employee 26	S07	Support	27/06/2020
E027	Employee 27	S11	Support	9/03/2024
E028	Employee 28	S05	Operations	7/03/2020
E029	Employee 29	S06	Sales	13/11/2023
E030	Employee 30	S04	Operations	28/02/2021
E031	Employee 31	S10	Operations	23/09/2023
E032	Employee 32	S03	Sales	14/12/2023
E033	Employee 33	S09	Support	18/12/2021
E034	Employee 34	S11	Support	14/05/2025
E035	Employee 35	S11	Sales	6/07/2021
E036	Employee 36	S02	Operations	17/02/2025
E037	Employee 37	S01	Support	5/04/2022
E038	Employee 38	S01	Sales	20/06/2020
E039	Employee 39	S06	Support	12/10/2025
E040	Employee 40	S07	Operations	23/04/2025
E041	Employee 41	S05	Sales	21/02/2022
E042	Employee 42	S05	Support	14/07/2020
E043	Employee 43	S11	Support	24/01/2023
E044	Employee 44	S02	Support	24/11/2024
E045	Employee 45	S07	Operations	6/12/2024
E046	Employee 46	S07	Support	4/02/2022
E047	Employee 47	S08	Operations	30/07/2025
E048	Employee 48	S06	Operations	28/12/2022
E049	Employee 49	S02	Operations	4/10/2024
E050	Employee 50	S02	Support	9/01/2022
E051	Employee 51	S09	Support	8/08/2023
E052	Employee 52	S02	Sales	5/09/2023
E053	Employee 53	S11	Support	9/06/2023
E054	Employee 54	S08	Operations	11/10/2024
E055	Employee 55	S03	Operations	23/12/2024
E056	Employee 56	S06	Support	22/06/2020
E057	Employee 57	S06	Operations	16/11/2024
E058	Employee 58	S05	Operations	22/08/2020
E059	Employee 59	S02	Operations	21/07/2024
E060	Employee 60	S06	Operations	17/10/2021
E061	Employee 61	S01	Sales	29/11/2024
E062	Employee 62	S01	Sales	2/10/2020
E063	Employee 63	S04	Operations	9/02/2024
E064	Employee 64	S06	Support	12/05/2020
E065	Employee 65	S10	Sales	16/01/2025
E066	Employee 66	S06	Support	23/12/2024
E067	Employee 67	S02	Operations	17/07/2021
E068	Employee 68	S09	Support	18/06/2024
E069	Employee 69	S06	Operations	15/02/2023
E070	Employee 70	S04	Sales	16/04/2020
E071	Employee 71	S03	Support	21/10/2025
E072	Employee 72	S07	Operations	27/04/2021
