SaleID	Date	StoreID	CustomerID	EmployeeID	ProductID	Quantity	Discount	SalesAmount	Profit
SA00001	13/06/2025	S07	C0258	E080	P070	4	10	3023.46	1307.46
SA00002	12/01/2026	S10	C0114	E057	P025	1	10	310.3	37.3
SA00003	6/06/2025	S08	C0192	E107	P068	2	15	574.28	180.28
SA00004	12/08/2025	S04	C0042	E135	P080	5	15	513.4	153.4
SA00005	6/01/2026	S02	C0058	E016	P059	4	20	1578.08	234.08
SA00006	27/07/2025	S10	C0275	E039	P054	5	20	1825.4	680.4
SA00007	17/06/2026	S08	C0060	E053	P072	2	10	963.86	267.86
SA00008	4/04/2025	S09	C0229	E015	P009	5	15	2845.08	400.08
SA00009	10/06/2026	S07	C0234	E145	P062	4	5	3643.02	1651.02
SA00010	19/04/2026	S11	C0158	E006	P048	1	20	456.63	-6.37
SA00011	4/01/2025	S04	C0038	E012	P014	4	10	1955.52	791.52
SA00012	7/03/2025	S09	C0031	E018	P047	4	10	1443.92	479.92
SA00013	21/10/2025	S07	C0093	E035	P077	4	0	1918.44	862.44
SA00014	27/01/2026	S08	C0194	E097	P024	4	10	719.14	203.14
SA00015	17/05/2025	S11	C0179	E031	P030	1	20	262.3	78.3
SA00016	7/02/2026	S09	C0066	E058	P080	2	20	193.28	49.28
SA00017	2/11/2025	S08	C0279	E109	P014	1	0	543.2	252.2
SA00018	24/08/2025	S04	C0236	E089	P031	5	15	2364.1	254.1
SA00019	13/07/2025	S02	C0017	E108	P038	2	10	1181.59	521.59
SA00020	4/09/2025	S04	C0035	E026	P059	5	0	2465.75	785.75
SA00021	3/04/2026	S10	C0025	E063	P054	5	0	2281.75	1136.75
SA00022	26/03/2026	S04	C0277	E056	P092	1	15	488.9	65.9
SA00023	31/05/2026	S05	C0120	E148	P084	1	5	315.92	124.92
SA00024	25/11/2025	S04	C0155	E037	P072	3	20	1285.15	241.15
SA00025	28/02/2026	S05	C0141	E016	P009	5	5	3179.79	734.79
SA00026	29/06/2025	S11	C0219	E143	P097	5	20	760.28	10.28
SA00027	19/12/2025	S11	C0196	E135	P088	4	0	3489.6	1621.6
SA00028	23/02/2026	S03	C0154	E097	P019	3	15	1606.65	502.65
SA00029	30/04/2026	S04	C0116	E077	P100	2	20	1508.78	530.78
SA00030	1/03/2025	S09	C0212	E107	P027	2	15	914.28	108.28
SA00031	18/05/2025	S07	C0125	E066	P074	5	20	2693.32	238.32
SA00032	22/03/2025	S08	C0190	E024	P073	2	10	37.55	9.55
SA00033	22/02/2025	S05	C0194	E011	P078	5	5	3519.27	1234.27
SA00034	11/08/2025	S08	C0107	E086	P096	1	5	671.05	233.05
SA00035	5/08/2025	S04	C0061	E123	P026	3	0	1704.12	546.12
SA00036	29/07/2025	S07	C0123	E142	P070	2	20	1343.76	485.76
SA00037	25/01/2026	S08	C0274	E092	P038	3	10	1772.39	782.39
SA00038	4/01/2026	S09	C0255	E120	P046	3	10	1442.91	485.91
SA00039	24/11/2025	S04	C0190	E081	P034	1	15	49.04	6.04
SA00040	15/08/2025	S03	C0009	E067	P089	4	0	2756.44	1348.44
SA00041	4/03/2026	S05	C0079	E051	P028	5	20	1699.24	54.24
SA00042	24/01/2026	S10	C0126	E128	P076	3	5	302.07	50.07
SA00043	21/09/2025	S08	C0252	E118	P071	5	10	3443.26	1083.26
SA00044	23/06/2025	S03	C0280	E126	P018	2	10	830.66	232.66
SA00045	2/03/2025	S09	C0018	E020	P099	2	20	238.7	78.7
SA00046	27/02/2026	S03	C0119	E018	P071	1	0	765.17	293.17
SA00047	12/08/2025	S09	C0234	E096	P053	2	0	229.02	43.02
SA00048	10/05/2026	S11	C0250	E005	P033	1	20	331.1	18.1
SA00049	26/02/2026	S01	C0009	E136	P095	1	20	448.69	160.69
SA00050	21/10/2025	S01	C0258	E111	P022	3	20	1074.6	354.6
SA00051	9/04/2025	S09	C0077	E062	P024	2	0	399.52	141.52
SA00052	24/06/2026	S05	C0182	E069	P016	2	20	64.43	12.43
SA00053	18/01/2026	S07	C0236	E145	P071	4	0	3060.68	1172.68
SA00054	4/11/2025	S11	C0042	E009	P029	2	5	380.32	172.32
SA00055	24/01/2026	S07	C0244	E015	P062	1	15	814.89	316.89
SA00056	26/03/2025	S08	C0223	E085	P030	1	5	311.48	127.48
SA00057	25/06/2026	S01	C0118	E055	P028	5	0	2124.05	479.05
SA00058	5/10/2025	S01	C0039	E072	P070	5	15	3569.36	1424.36
SA00059	3/02/2025	S03	C0162	E005	P009	5	20	2677.72	232.72
SA00060	28/05/2025	S07	C0040	E077	P069	2	20	877.18	35.18
SA00061	4/09/2025	S10	C0200	E139	P028	2	20	679.7	21.7
SA00062	24/05/2025	S02	C0257	E089	P008	3	15	101.49	2.49
SA00063	24/03/2026	S04	C0039	E088	P035	1	0	403.79	146.79
SA00064	11/02/2026	S06	C0016	E070	P083	5	20	2319	449
SA00065	22/08/2025	S06	C0193	E111	P005	4	15	888.73	288.73
SA00066	25/01/2026	S02	C0152	E064	P063	2	20	354.26	4.26
SA00067	2/10/2025	S03	C0195	E040	P041	1	0	393.88	162.88
SA00068	5/01/2026	S02	C0047	E002	P057	4	10	1401.8	545.8
SA00069	4/01/2026	S05	C0053	E034	P100	3	15	2404.62	937.62
SA00070	18/03/2026	S08	C0263	E105	P088	1	5	828.78	361.78
SA00071	2/04/2025	S06	C0048	E084	P090	1	0	437.55	196.55
SA00072	26/10/2025	S07	C0199	E022	P055	4	0	1836.36	748.36
SA00073	18/06/2026	S03	C0195	E044	P097	5	5	902.83	152.83
SA00074	5/11/2025	S05	C0253	E038	P050	2	10	714.73	218.73
SA00075	22/03/2026	S05	C0216	E077	P099	1	5	141.73	61.73
SA00076	5/01/2026	S05	C0127	E127	P093	4	0	569.52	269.52
SA00077	20/07/2025	S08	C0055	E035	P034	5	20	230.76	15.76
SA00078	10/02/2026	S06	C0195	E085	P018	3	0	1384.44	487.44
SA00079	17/03/2026	S11	C0070	E077	P051	4	10	1085.26	145.26
SA00080	25/07/2025	S08	C0161	E046	P017	3	20	1442.04	14.04
SA00081	26/10/2025	S11	C0252	E148	P077	4	10	1726.6	670.6
SA00082	21/01/2026	S05	C0202	E094	P067	2	10	1106.77	136.77
SA00083	24/07/2025	S10	C0280	E047	P077	1	20	383.69	119.69
SA00084	18/04/2026	S04	C0225	E075	P082	5	0	3391.1	1396.1
SA00085	27/05/2026	S03	C0156	E062	P087	1	15	156.26	29.26
SA00086	10/03/2026	S07	C0038	E115	P090	3	5	1247.02	524.02
SA00087	15/02/2026	S09	C0260	E108	P018	5	15	1961.29	466.29
SA00088	4/01/2026	S09	C0044	E028	P041	5	0	1969.4	814.4
SA00089	20/06/2025	S11	C0023	E145	P020	2	10	172.82	46.82
SA00090	17/03/2026	S02	C0006	E026	P042	4	10	1375.92	147.92
SA00091	7/06/2026	S09	C0114	E115	P027	3	5	1532.76	323.76
SA00092	20/04/2026	S11	C0257	E039	P064	3	15	379.62	148.62
SA00093	10/05/2026	S02	C0152	E107	P072	3	0	1606.44	562.44
SA00094	26/05/2025	S06	C0160	E088	P067	1	0	614.87	129.87
SA00095	18/06/2026	S08	C0179	E122	P069	4	5	2083.31	399.31
SA00096	9/04/2026	S06	C0035	E077	P082	1	15	576.49	177.49
SA00097	24/01/2025	S06	C0056	E043	P080	1	0	120.8	48.8
SA00098	28/06/2025	S09	C0082	E085	P092	2	20	920.29	74.29
SA00099	19/04/2026	S04	C0208	E048	P020	5	15	408.04	93.04
SA00100	10/02/2026	S01	C0102	E116	P076	2	15	180.18	12.18
SA00101	3/02/2026	S01	C0110	E053	P001	5	15	951.36	231.36
SA00102	15/04/2025	S09	C0096	E094	P066	3	0	801.45	186.45
SA00103	14/04/2026	S02	C0135	E126	P026	3	5	1618.91	460.91
SA00104	2/02/2026	S10	C0201	E030	P052	5	10	2110.32	260.32
SA00105	14/04/2026	S10	C0089	E077	P062	3	10	2588.46	1094.46
SA00106	28/03/2025	S11	C0069	E081	P054	5	20	1825.4	680.4
SA00107	9/11/2025	S02	C0094	E096	P006	1	5	391.28	137.28
SA00108	2/02/2026	S07	C0071	E148	P012	2	20	482.61	32.61
SA00109	10/07/2025	S08	C0276	E045	P044	4	15	101.63	5.63
SA00110	17/05/2026	S05	C0072	E048	P007	5	5	183.06	43.06
SA00111	24/02/2025	S06	C0005	E125	P049	3	15	1164.08	150.08
SA00112	29/01/2026	S09	C0259	E127	P051	2	5	572.77	102.77
SA00113	2/03/2026	S08	C0251	E043	P076	4	15	360.37	24.37
SA00114	1/02/2025	S04	C0150	E009	P016	1	20	32.22	6.22
SA00115	23/10/2025	S03	C0235	E145	P055	3	5	1308.41	492.41
SA00116	8/06/2026	S02	C0059	E069	P011	4	20	254.75	-9.25
SA00117	12/02/2025	S08	C0280	E056	P080	5	10	543.6	183.6
SA00118	11/09/2025	S05	C0017	E116	P044	4	0	119.56	23.56
SA00119	31/03/2025	S08	C0061	E061	P093	3	10	384.43	159.43
SA00120	26/12/2025	S10	C0220	E043	P073	2	20	33.38	5.38
SA00121	31/07/2025	S04	C0031	E146	P020	5	5	456.05	141.05
SA00122	15/10/2025	S10	C0276	E044	P009	3	20	1606.63	139.63
SA00123	24/10/2025	S10	C0137	E132	P086	3	10	1709.13	491.13
SA00124	26/02/2026	S01	C0142	E033	P067	1	5	584.13	99.13
SA00125	30/05/2025	S06	C0127	E101	P055	2	5	872.27	328.27
SA00126	3/10/2025	S11	C0213	E097	P008	4	5	151.24	19.24
SA00127	6/04/2025	S07	C0264	E072	P089	4	0	2756.44	1348.44
